ytest,ypred
0.27,0.25715232
0.27,0.2521577
0.26,0.25213993
0.23,0.24922179
0.27,0.24651477
0.26,0.25245422
0.24,0.25984335
0.28,0.29403585
0.26,0.24945056
0.19,0.18476634
0.26,0.25950664
0.28,0.28571796
0.23,0.24057305
0.26,0.25936356
0.19,0.18951178
0.19,0.20825037
0.23,0.24712867
0.27,0.26330572
0.24,0.2724767
0.24,0.25775808
0.27,0.26118788
0.19,0.17493743
0.24,0.27879533
0.33,0.33287096
0.24,0.26256528
0.28,0.26118788
0.24,0.25609544
0.24,0.29736137
0.26,0.25554973
0.21,0.20417592
0.24,0.2631732
0.27,0.2604359
0.24,0.27541506
0.26,0.26178575
0.26,0.2572975
0.27,0.24332328
0.24,0.27027598
0.28,0.2756945
0.19,0.20081711
0.33,0.33343312
0.24,0.24515468
0.26,0.25671184
0.24,0.25916514
0.26,0.247309
0.24,0.2647521
0.23,0.24794562
0.23,0.25083962
0.33,0.32542503
0.19,0.1828441
0.28,0.27411973
0.24,0.27645162
0.23,0.2435877
0.27,0.24898295
0.19,0.17311935
0.24,0.25368917
0.23,0.2379597
0.19,0.20600563
0.21,0.2065594
0.19,0.18762322
0.26,0.26118788
0.24,0.25344405
0.33,0.32802773
0.27,0.24355575
0.27,0.26886228
0.27,0.24242279
0.21,0.20726083
0.27,0.24587357
0.27,0.25010556
0.26,0.24471124
0.27,0.24849251
0.19,0.19880189
0.23,0.24752103
0.23,0.2445406
0.21,0.21794301
0.26,0.2607001
0.27,0.24412034
0.26,0.26305366
0.24,0.25835383
0.24,0.2609305
0.24,0.25555503
0.33,0.3374098
0.24,0.24578181
0.27,0.26374316
0.23,0.24854723
0.27,0.24839216
0.26,0.25534537
0.27,0.2645852
0.26,0.24249743
0.23,0.24162276
0.27,0.24246739
0.33,0.33956736
0.27,0.24864715
0.24,0.26262236
0.26,0.2542584
0.19,0.16954589
0.26,0.25469878
0.27,0.24629845
0.28,0.26238632
0.27,0.25989068
0.33,0.32717025
0.26,0.24900101
0.26,0.2599146
0.23,0.2451367
0.33,0.3396815
0.24,0.266284
0.27,0.24461097
0.21,0.20396574
0.26,0.25115824
0.23,0.24459074
0.23,0.24334702
0.33,0.32445064
0.27,0.2442717
0.33,0.3330457
0.24,0.26056993
0.28,0.28215635
0.27,0.24246548
0.19,0.18248132
0.21,0.19508794
0.21,0.20872968
0.28,0.29493326
0.23,0.24623767
0.24,0.23941466
0.21,0.21250592
0.27,0.26152712
0.33,0.32844844
0.27,0.26329586
0.26,0.24629915
0.33,0.32966444
0.24,0.2548439
0.26,0.26234987
0.33,0.34632242
0.27,0.2583012
0.33,0.33798173
0.27,0.2636929
0.19,0.20336682
0.21,0.20049302
0.24,0.28870085
0.33,0.33529478
0.19,0.18892935
0.28,0.26118788
0.26,0.26718462
0.33,0.34708917
0.21,0.19582015
0.23,0.24672478
0.23,0.24839611
0.19,0.21250746
0.27,0.24615286
0.26,0.26036596
0.24,0.26324853
0.24,0.25871423
0.27,0.26118788
0.19,0.19218987
0.28,0.26118788
0.26,0.24543148
0.24,0.25359786
0.24,0.24304695
0.33,0.31013846
0.21,0.20659867
0.27,0.24724805
0.21,0.19307452
0.19,0.18146944
0.27,0.24797158
0.33,0.32247707
0.24,0.25741628
0.21,0.21471603
0.19,0.19706029
0.19,0.19186117
0.28,0.26118788
0.26,0.251345
0.24,0.24680676
0.33,0.33134547
0.19,0.1901258
0.24,0.27672005
0.19,0.2180552
0.27,0.26896605
0.19,0.19103383
0.23,0.24681163
0.26,0.25944835
0.21,0.21156478
0.27,0.26185948
0.26,0.25060466
0.19,0.22153062
0.28,0.2932289
0.21,0.20955227
0.24,0.2469558
0.24,0.24099618
0.33,0.3332208
0.33,0.3354363
0.21,0.22378449
0.33,0.3340008
0.26,0.2440352
0.26,0.2579027
0.28,0.26118788
0.28,0.29154438
0.27,0.26417345
0.24,0.25721216
0.28,0.2579812
0.28,0.27238083
0.27,0.26505512
0.26,0.24261868
0.23,0.23975106
0.24,0.25386596
0.26,0.2410293
0.27,0.258679
0.21,0.20212542
0.19,0.2059522
0.19,0.19615236
0.23,0.24322644
0.28,0.26186758
0.19,0.19397451
0.24,0.25871283
0.23,0.2470408
0.27,0.25083426
0.21,0.210551
0.26,0.27011105
0.21,0.20627666
0.24,0.26143295
0.33,0.33945414
0.26,0.2575281
0.27,0.26570016
0.27,0.24642524
0.33,0.33531106
0.33,0.32562926
0.27,0.24768779
0.33,0.31570268
0.21,0.21488285
0.28,0.28799236
0.24,0.2681319
0.33,0.3433429
0.27,0.26192364
0.24,0.28139982
0.27,0.2629416
0.28,0.26945573
0.26,0.25373784
0.21,0.21028814
0.27,0.24544191
0.28,0.3115318
0.27,0.26253587
0.27,0.266388
0.28,0.25726634
0.26,0.24516521
0.23,0.24194236
0.27,0.25068608
0.24,0.25967807
0.21,0.2025882
0.23,0.23904705
0.21,0.20395261
0.24,0.25357604
0.28,0.29311082
