ytest,ypred
3.43,3.3479984
6.76,5.911977
5.49,5.710066
4.72,5.2850666
6.76,5.6193137
6.41,6.6175222
2.97,3.3748193
5.95,5.927196
5.49,5.388107
5.1,5.3304515
6.41,6.623162
5.95,6.0773273
4.72,5.6157107
6.41,6.3631864
5.1,5.4554
5.1,5.297359
4.72,5.396463
3.43,3.6167274
2.97,3.4221349
5.31,5.4236684
3.43,3.6578932
5.1,5.293222
5.31,5.2599077
5.24,5.760541
5.31,5.8037734
5.95,6.3415246
2.97,3.3215885
5.31,5.506792
5.49,5.8419147
6.58,7.0992055
2.97,3.5332322
3.43,3.331746
5.31,5.535648
5.49,5.5227647
6.41,6.5759354
6.76,6.737381
5.31,5.692223
5.95,6.1852374
5.1,5.239249
5.24,5.7236385
5.31,5.872807
5.49,5.7584743
5.31,5.7124085
5.49,5.664411
2.97,3.3283067
4.72,5.2703614
4.72,5.2735543
5.24,5.759348
5.1,5.0037794
5.95,6.2810607
5.31,5.8886747
4.72,5.2927995
6.76,6.0027866
5.1,5.7582297
5.31,5.5163565
4.72,6.005599
5.1,5.5100074
6.58,6.930021
5.1,5.2425213
6.41,6.398254
2.97,3.231957
5.24,5.6328506
6.76,6.456377
3.43,3.5274334
6.76,6.550533
6.58,6.9762106
6.76,6.722361
6.76,6.5621076
5.49,5.724193
6.76,6.562783
5.1,5.3793855
4.72,5.850712
4.72,5.224134
6.58,6.853556
6.41,6.6066766
6.76,6.4980555
5.49,5.5549874
5.31,5.491147
2.97,3.1765676
2.97,3.289216
5.24,5.8194695
5.31,5.41845
3.43,3.5434604
4.72,5.4550567
6.76,6.621639
6.41,6.54667
3.43,3.4651365
5.49,5.5634465
4.72,5.5304933
6.76,6.575577
5.24,5.7081895
6.76,6.0840144
5.31,5.8996034
6.41,6.7285705
5.1,6.102812
5.49,5.828481
6.76,5.681092
5.95,5.9103765
3.43,3.4216347
5.24,5.6998196
5.49,5.7214007
6.41,6.585145
4.72,4.9274654
5.24,5.823022
2.97,3.450676
6.76,5.7815537
6.58,6.9584804
6.41,6.730837
4.72,4.7458944
4.72,5.299383
5.24,5.6270475
6.76,6.371165
5.24,5.641696
2.97,3.322798
5.95,6.3812027
6.76,6.738013
5.1,5.848153
6.58,7.0700088
6.58,6.4831758
5.95,5.9402413
4.72,4.8641014
5.31,5.7620173
6.58,6.905646
3.43,3.481111
5.24,5.6543155
3.43,3.4914937
5.49,5.5443635
5.24,5.6778913
2.97,3.278672
5.49,5.6868014
5.24,5.771554
3.43,3.3749804
5.24,5.6980777
3.43,3.6642642
5.1,5.2207003
6.58,6.8999047
5.31,5.9036307
5.24,5.661793
5.1,5.4225783
5.95,5.7467685
5.49,5.765664
5.24,5.7797914
6.58,6.7227235
4.72,5.789753
4.72,5.5958652
5.1,5.3161025
6.76,5.947543
6.41,6.463363
2.97,3.2930598
2.97,3.2152355
3.43,3.4772635
5.1,5.4778137
5.95,5.8134055
5.49,5.542581
5.31,5.58975
5.31,5.6782403
5.24,5.564056
6.58,6.91382
6.76,5.9708676
6.58,7.0991387
5.1,5.438365
6.76,5.9440236
5.24,5.6387343
5.31,5.7579064
6.58,7.300959
5.1,5.497352
5.1,5.416968
5.95,4.9193397
5.49,5.693832
5.31,5.749973
5.24,5.82413
5.1,5.2813745
5.31,5.8145556
5.1,5.2801123
3.43,3.4813514
5.1,5.656813
4.72,4.8734055
5.49,5.5459695
6.58,6.9912534
3.43,3.4616346
6.41,6.555202
5.1,6.778458
5.95,6.4913583
6.58,6.531834
5.31,5.7681184
5.31,5.5889196
5.24,5.5296226
5.24,5.769174
6.58,6.5670996
5.24,5.8134093
5.49,5.7299294
6.41,6.7020445
5.95,6.006719
5.95,6.0679
3.43,3.758329
2.97,3.437348
5.95,4.84715
5.95,6.0183005
3.43,3.5655599
5.49,5.5920396
4.72,5.170868
2.97,3.2122676
5.49,5.5375924
3.43,3.6109982
6.58,6.9755464
5.1,5.217703
5.1,5.243764
4.72,5.248665
5.95,6.0846367
5.1,5.3580103
2.97,3.2166963
4.72,5.385581
6.76,6.7371907
6.58,6.6750407
5.49,5.8228483
6.58,6.783356
2.97,3.3314545
5.24,5.696057
5.49,5.7521467
3.43,3.579739
6.76,6.552276
5.24,5.566222
5.24,5.5114727
6.76,6.561704
5.24,5.877874
6.58,7.086124
5.95,6.206117
2.97,3.416245
5.24,5.6703763
3.43,3.4345565
5.31,5.509416
3.43,3.4870195
5.95,5.9559436
6.41,6.4634852
6.58,7.06705
6.76,6.6131873
5.95,5.991921
3.43,3.5014467
3.43,3.552888
5.95,5.8921103
5.49,5.7817516
4.72,5.389445
6.76,5.261117
2.97,3.2906294
6.58,7.1275005
4.72,5.3548946
6.58,6.9733424
5.31,5.707462
5.95,6.1780343
