ytest,ypred
0.09265,0.13464254
0.00058,0.01247073
0.00176,0.01247073
0.0026,0.01247073
0.00058,0.01247073
0.00097,0.01247073
0.15382,0.12817603
0.117604,0.061221812
0.00176,0.01247073
0.0234,0.01247073
0.00097,0.01247073
0.117604,0.12437036
0.0026,0.01247073
0.00097,0.01247073
0.0234,0.01247073
0.0234,0.01247073
0.0026,0.01247073
0.09265,0.11758651
0.15382,0.13951491
0.00323,0.01247073
0.09265,0.123269506
0.0234,0.012119912
0.00323,0.01247073
0.00229,0.01247073
0.00323,0.01247073
0.117604,0.12500294
0.15382,0.12691078
0.00323,0.01247073
0.00176,0.01247073
0.02872,0.01247073
0.15382,0.12279984
0.09265,0.13571025
0.00323,0.01247073
0.00176,0.01247073
0.00097,0.01247073
0.00058,0.01247073
0.00323,0.03039582
0.117604,0.12107773
0.0234,0.01247073
0.00229,0.01247073
0.00323,0.01247073
0.00176,0.01247073
0.00323,0.01247073
0.00176,0.01247073
0.15382,0.13554871
0.0026,0.01247073
0.0026,0.01247073
0.00229,0.01247073
0.0234,0.01247073
0.117604,0.13628244
0.00323,0.01247073
0.0026,0.01247073
0.00058,0.01247073
0.0234,0.01247073
0.00323,0.01247073
0.0026,0.01247073
0.0234,0.01247073
0.02872,0.01247073
0.0234,0.012356885
0.00097,0.01247073
0.15382,0.13138416
0.00229,0.01247073
0.00058,0.01247073
0.09265,0.13006929
0.00058,0.01247073
0.02872,0.01247073
0.00058,0.01247073
0.00058,0.01247073
0.00176,0.01247073
0.00058,0.01247073
0.0234,0.01247073
0.0026,0.01247073
0.0026,0.01247073
0.02872,0.01247073
0.00097,0.01247073
0.00058,0.01247073
0.00176,0.01247073
0.00323,0.01247073
0.15382,0.13781437
0.15382,0.12460902
0.00229,0.01247073
0.00323,0.01247073
0.09265,0.13118537
0.0026,0.01247073
0.00058,0.01247073
0.00097,0.01247073
0.09265,0.12409011
0.00176,0.01247073
0.0026,0.01247073
0.00058,0.01247073
0.00229,0.01247073
0.00058,0.01247073
0.00323,0.01247073
0.00097,0.01247073
0.0234,0.01247073
0.00176,0.01247073
0.00058,0.01247073
0.117604,0.120746374
0.09265,0.12522747
0.00229,0.01247073
0.00176,0.01247073
0.00097,0.01247073
0.0026,0.01247073
0.00229,0.01247073
0.15382,0.13255002
0.00058,0.01247073
0.02872,0.01247073
0.00097,0.01247073
0.0026,0.01247073
0.0026,0.01247073
0.00229,0.01247073
0.00058,0.01247073
0.00229,0.015207104
0.15382,0.13302734
0.117604,0.13388719
0.00058,0.01247073
0.0234,0.01247073
0.02872,0.01247073
0.02872,0.01247073
0.117604,0.01247073
0.0026,0.01247073
0.00323,0.01247073
0.02872,0.01247073
0.09265,0.13294868
0.00229,0.01247073
0.09265,0.13015959
0.00176,0.01247073
0.00229,0.01247073
0.15382,0.1271515
0.00176,0.01247073
0.00229,0.01247073
0.09265,0.12565166
0.00229,0.01247073
0.09265,0.120210044
0.0234,0.01247073
0.02872,0.01247073
0.00323,0.01247073
0.00229,0.01247073
0.0234,0.01247073
0.117604,0.12281571
0.00176,0.01247073
0.00229,0.01247073
0.02872,0.01247073
0.0026,0.01247073
0.0026,0.01247073
0.0234,0.01247073
0.00058,0.01247073
0.00097,0.01247073
0.15382,0.13159618
0.15382,0.13638899
0.09265,0.118656665
0.0234,0.01247073
0.117604,0.115040965
0.00176,0.01247073
0.00323,0.01247073
0.00323,0.01247073
0.00229,0.01247073
0.02872,0.01247073
0.00058,0.01247073
0.02872,0.01247073
0.0234,0.01247073
0.00058,0.01247073
0.00229,0.01247073
0.00323,0.01247073
0.02872,0.01247073
0.0234,0.01247073
0.0234,0.01247073
0.117604,0.12367026
0.00176,0.01247073
0.00323,0.01247073
0.00229,0.01247073
0.0234,0.01247073
0.00323,0.01247073
0.0234,0.01247073
0.09265,0.13508792
0.0234,0.01247073
0.0026,0.01247073
0.00176,0.01247073
0.02872,0.01247073
0.09265,0.12831813
0.00097,0.01247073
0.0234,0.01247073
0.117604,0.12624536
0.02872,0.01247073
0.00323,0.01247073
0.00323,0.01247073
0.00229,0.01247073
0.00229,0.01247073
0.02872,0.01247073
0.00229,0.01247073
0.00176,0.01247073
0.00097,0.01247073
0.117604,0.11184048
0.117604,0.13344905
0.09265,0.13166523
0.15382,0.12665018
0.117604,0.13691862
0.117604,0.11598068
0.09265,0.12723313
0.00176,0.01247073
0.0026,0.01247073
0.15382,0.1433886
0.00176,0.01247073
0.09265,0.12351533
0.02872,0.01247073
0.0234,0.01247073
0.0234,0.01247073
0.0026,0.01247073
0.117604,0.13311256
0.0234,0.01247073
0.15382,0.13119335
0.0026,0.01247073
0.00058,0.01247073
0.02872,0.01247073
0.00176,0.01247073
0.02872,0.01247073
0.15382,0.1332026
0.00229,0.01247073
0.00176,0.01247073
0.09265,0.12405881
0.00058,0.01247073
0.00229,0.01247073
0.00229,0.01247073
0.00058,0.01247073
0.00229,0.01247073
0.02872,0.01247073
0.117604,0.130061
0.15382,0.13386714
0.00229,0.01247073
0.09265,0.138931
0.00323,0.01247073
0.09265,0.13085532
0.117604,0.11953212
0.00097,0.01247073
0.02872,0.01247073
0.00058,0.01247073
0.117604,0.13136542
0.09265,0.12692387
0.09265,0.12319366
0.117604,0.036802337
0.00176,0.01247073
0.0026,0.01247073
0.00058,0.01247073
0.15382,0.13554275
0.02872,0.01247073
0.0026,0.01247073
0.02872,0.01247073
0.00323,0.01247073
0.117604,0.1375596
