ytest,ypred
0.207,0.20778202
0.147,0.13628936
0.153,0.1433765
0.121,0.13546251
0.147,0.13974984
0.149,0.13407789
0.187,0.20743728
0.235,0.22709759
0.153,0.14507148
0.123,0.11786719
0.149,0.13362119
0.235,0.23675434
0.121,0.13282278
0.149,0.13920593
0.123,0.109973736
0.123,0.113109395
0.121,0.13449681
0.207,0.22730055
0.187,0.21490216
0.218,0.21441716
0.207,0.22381087
0.123,0.13020465
0.218,0.16494079
0.143,0.13890685
0.218,0.22279021
0.235,0.2388012
0.187,0.20906422
0.218,0.15391892
0.153,0.14108631
0.119,0.114797726
0.187,0.22309405
0.207,0.20785756
0.218,0.18289582
0.153,0.14363274
0.149,0.1347977
0.147,0.12747428
0.218,0.22073558
0.235,0.24333674
0.123,0.120715916
0.143,0.14360085
0.218,0.16473894
0.153,0.14243817
0.218,0.21610525
0.153,0.1437026
0.187,0.20974052
0.121,0.13431165
0.121,0.13567275
0.143,0.1384491
0.123,0.116404936
0.235,0.24135682
0.218,0.22890434
0.121,0.1367013
0.147,0.13587287
0.123,0.1082284
0.218,0.18920316
0.121,0.1330051
0.123,0.11310352
0.119,0.12196412
0.123,0.12409847
0.149,0.13561827
0.187,0.20676935
0.143,0.14307326
0.147,0.13258846
0.207,0.21989247
0.147,0.13172628
0.119,0.1180235
0.147,0.12700517
0.147,0.13332832
0.153,0.13951248
0.147,0.13282137
0.123,0.11304888
0.121,0.13316521
0.121,0.13524999
0.119,0.12649323
0.149,0.13566849
0.147,0.12951496
0.153,0.13998824
0.218,0.21453463
0.187,0.20847015
0.187,0.20353219
0.143,0.13790515
0.218,0.17500177
0.207,0.21355361
0.121,0.13673644
0.147,0.12975577
0.149,0.13185766
0.207,0.2173791
0.153,0.14381883
0.121,0.13388954
0.147,0.13198394
0.143,0.14101772
0.147,0.13495156
0.218,0.16213784
0.149,0.13288869
0.123,0.11572176
0.153,0.13941985
0.147,0.13221058
0.235,0.231976
0.207,0.2175594
0.143,0.14081743
0.153,0.14130346
0.149,0.13506539
0.121,0.13679424
0.143,0.14124206
0.187,0.21378516
0.147,0.13177179
0.119,0.11420621
0.149,0.1317833
0.121,0.13579218
0.121,0.13568895
0.143,0.1417051
0.147,0.1322253
0.143,0.14051485
0.187,0.21148767
0.235,0.25044665
0.147,0.1264985
0.123,0.11724265
0.119,0.11829848
0.119,0.10609296
0.235,0.2275512
0.121,0.13632557
0.218,0.1580416
0.119,0.11987001
0.207,0.21027541
0.143,0.14231461
0.207,0.2116306
0.153,0.14413078
0.143,0.14212878
0.187,0.20270249
0.153,0.1395807
0.143,0.13759656
0.207,0.21404305
0.143,0.13841903
0.207,0.22739814
0.123,0.11224039
0.119,0.11833657
0.218,0.22864541
0.143,0.1400261
0.123,0.120502576
0.235,0.23332311
0.153,0.14195134
0.143,0.14005464
0.119,0.11712976
0.121,0.13202511
0.121,0.13238326
0.123,0.121150725
0.147,0.13206881
0.149,0.13982148
0.187,0.20856796
0.187,0.19872749
0.207,0.2143877
0.123,0.118418574
0.235,0.232354
0.153,0.1450162
0.218,0.21374495
0.218,0.21581227
0.143,0.14403886
0.119,0.11985612
0.147,0.13419291
0.119,0.11440982
0.123,0.11152946
0.147,0.13337457
0.143,0.1435286
0.218,0.22186068
0.119,0.11931454
0.123,0.11903846
0.123,0.113888375
0.235,0.2368595
0.153,0.1451161
0.218,0.2132079
0.143,0.13956091
0.123,0.1148751
0.218,0.18360698
0.123,0.12016736
0.207,0.21812882
0.123,0.118875235
0.121,0.1360372
0.153,0.14500433
0.119,0.11766346
0.207,0.21430336
0.149,0.13604982
0.123,0.11763106
0.235,0.24310459
0.119,0.124394566
0.218,0.21383695
0.218,0.2173885
0.143,0.14210653
0.143,0.14174542
0.119,0.12223104
0.143,0.13578145
0.153,0.14247862
0.149,0.1330451
0.235,0.22772343
0.235,0.24005073
0.207,0.2243624
0.187,0.20427287
0.235,0.24353161
0.235,0.22951694
0.207,0.21823493
0.153,0.14429908
0.121,0.1334088
0.187,0.2046678
0.153,0.14452136
0.207,0.2159784
0.119,0.117358856
0.123,0.11837882
0.123,0.12618485
0.121,0.13510492
0.235,0.24250798
0.123,0.11891948
0.187,0.20161521
0.121,0.13560122
0.147,0.12967034
0.119,0.10747872
0.153,0.14132285
0.119,0.12105103
0.187,0.20912772
0.143,0.13943991
0.153,0.14029765
0.207,0.21951194
0.147,0.13112803
0.143,0.14497367
0.143,0.14333025
0.147,0.13077046
0.143,0.14137791
0.119,0.11445246
0.235,0.24316682
0.187,0.2082254
0.143,0.13857709
0.207,0.21680118
0.218,0.1628291
0.207,0.22003248
0.235,0.22803651
0.149,0.13062015
0.119,0.11681528
0.147,0.1301409
0.235,0.2274561
0.207,0.21850947
0.207,0.21619357
0.235,0.22908926
0.153,0.14218587
0.121,0.13507237
0.147,0.13975409
0.187,0.20438121
0.119,0.1198687
0.121,0.13505283
0.119,0.1095235
0.218,0.16323465
0.235,0.24753122
