ytest,ypred
64.5,68.45161
67.9,68.40024
101.4,102.17292
72.9,70.33967
67.9,68.67933
70.8,71.17952
68.7,68.84443
65.7,66.11838
101.4,101.32317
78.1,78.33014
70.8,70.82569
65.7,65.742584
72.9,72.47085
70.8,69.20495
78.1,79.18934
78.1,78.55098
72.9,70.85394
64.5,65.53597
68.7,67.5225
69.3,67.39864
64.5,65.52837
78.1,78.1587
69.3,69.19793
71.5,70.37065
69.3,67.36469
65.7,67.28913
68.7,67.17136
69.3,70.55569
101.4,101.63816
75.2,73.97699
68.7,68.040535
64.5,68.549095
69.3,67.99078
101.4,98.45831
70.8,70.145744
67.9,70.07254
69.3,66.7429
65.7,64.80101
78.1,76.90809
71.5,69.60483
69.3,68.71923
101.4,103.73957
69.3,68.6576
101.4,99.98872
68.7,67.936516
72.9,70.95642
72.9,72.12014
71.5,69.36058
78.1,77.79777
65.7,63.86418
69.3,66.82705
72.9,71.42246
67.9,67.44433
78.1,82.027435
69.3,68.19739
72.9,70.83049
78.1,78.91227
75.2,74.17834
78.1,77.40212
70.8,70.64048
68.7,68.536964
71.5,69.737946
67.9,68.785324
64.5,66.064964
67.9,69.503654
75.2,75.28505
67.9,70.36358
67.9,68.49171
101.4,103.92607
67.9,68.581116
78.1,78.90618
72.9,68.86083
72.9,70.78927
75.2,74.864716
70.8,70.3365
67.9,69.4187
101.4,96.28958
69.3,67.22358
68.7,69.089424
68.7,67.4813
71.5,69.722694
69.3,67.73591
64.5,68.01411
72.9,69.201065
67.9,69.52036
70.8,70.50373
64.5,66.409004
101.4,99.35554
72.9,70.392006
67.9,69.40159
71.5,69.1864
67.9,67.88932
69.3,68.70665
70.8,71.44935
78.1,76.976555
101.4,103.5074
67.9,69.1131
65.7,64.41665
64.5,66.91216
71.5,69.978546
101.4,102.553825
70.8,70.789024
72.9,71.94436
71.5,71.83438
68.7,68.3631
67.9,69.54271
75.2,75.55381
70.8,71.40958
72.9,73.767296
72.9,71.31793
71.5,69.02476
67.9,68.92778
71.5,67.91572
68.7,67.51505
65.7,66.65947
67.9,70.540924
78.1,77.19404
75.2,73.34908
75.2,74.89222
65.7,66.48738
72.9,72.724174
69.3,69.77393
75.2,73.35004
64.5,68.26538
71.5,70.422226
64.5,67.24589
101.4,101.43748
71.5,69.61753
68.7,68.13612
101.4,104.994194
71.5,69.59313
64.5,67.30337
71.5,70.017075
64.5,64.74434
78.1,78.36877
75.2,74.98571
69.3,66.9347
71.5,70.67976
78.1,78.15923
65.7,66.33643
101.4,102.2256
71.5,72.18885
75.2,73.81605
72.9,68.67653
72.9,69.96237
78.1,77.598946
67.9,68.930466
70.8,68.89305
68.7,68.724396
68.7,69.23788
64.5,67.098755
78.1,79.37906
65.7,66.55555
101.4,102.67744
69.3,68.61329
69.3,68.845184
71.5,69.315605
75.2,72.88058
67.9,68.37946
75.2,76.52726
78.1,78.83761
67.9,68.28016
71.5,70.06263
69.3,70.29146
75.2,74.03389
78.1,79.269775
78.1,78.86329
65.7,63.23668
101.4,98.16073
69.3,69.97763
71.5,69.87327
78.1,77.76595
69.3,68.82358
78.1,76.7794
64.5,66.6773
78.1,77.315674
72.9,72.46394
101.4,98.98546
75.2,72.612755
64.5,66.424446
70.8,70.594894
78.1,74.92209
65.7,66.41253
75.2,75.23127
69.3,69.31619
69.3,69.27818
71.5,71.12382
71.5,69.94045
75.2,73.69129
71.5,71.21162
101.4,102.62229
70.8,71.18839
65.7,65.57206
65.7,66.45542
64.5,66.37812
68.7,68.92802
65.7,63.166527
65.7,64.80381
64.5,65.45467
101.4,97.53995
72.9,72.95705
68.7,69.142296
101.4,100.278984
64.5,66.715996
75.2,74.92888
78.1,77.32209
78.1,76.357376
72.9,71.04016
65.7,67.72689
78.1,79.14459
68.7,69.11248
72.9,70.052414
67.9,69.357414
75.2,72.2194
101.4,103.5794
75.2,74.78434
68.7,67.99144
71.5,68.805405
101.4,101.62731
64.5,65.53579
67.9,69.09584
71.5,70.30186
71.5,80.818
67.9,68.31827
71.5,70.50167
75.2,74.66144
65.7,64.32203
68.7,68.74656
71.5,70.17772
64.5,67.02326
69.3,67.90874
64.5,66.47318
65.7,65.4257
70.8,71.118004
75.2,73.91715
67.9,68.85143
65.7,66.810585
64.5,66.46007
64.5,66.60294
65.7,67.57484
101.4,102.60155
72.9,72.99596
67.9,67.641495
68.7,68.82476
75.2,74.13231
72.9,74.063354
75.2,72.847496
69.3,69.838036
65.7,64.18131
