ytest,ypred
1.9,1.5432199
2.6,2.5405867
2.4,2.5714297
2.9,2.783716
2.6,2.4334402
2.5,2.5500407
1.3,1.5215738
1.7,1.9307896
2.4,2.4616709
3.2,3.2329862
2.5,2.6258488
1.7,1.9003885
2.9,2.9753232
2.5,2.4470153
3.2,3.4241152
3.2,3.310567
2.9,2.7730772
1.9,1.8769227
1.3,1.4877093
1.8,1.7682601
1.9,1.8795903
3.2,3.1224685
1.8,2.1830547
2.8,2.6774287
1.8,1.8447294
1.7,1.9417608
1.3,1.6352274
1.8,2.0567482
2.4,2.575435
3.3,3.302565
1.3,1.5830033
1.9,1.5056942
1.8,1.7536287
2.4,2.5435734
2.5,2.5301244
2.6,2.7671955
1.8,1.8404844
1.7,1.8551095
3.2,3.2056322
2.8,2.4223988
1.8,1.9927506
2.4,2.5906246
1.8,1.8345585
2.4,2.5476923
1.3,1.6015105
2.9,2.8836496
2.9,2.7325034
2.8,3.116048
3.2,3.2489479
1.7,1.918313
1.8,1.8659021
2.9,2.7854006
2.6,2.5747929
3.2,3.5217903
1.8,1.8802936
2.9,2.7849512
3.2,3.3615768
3.3,3.3970134
3.2,3.2610977
2.5,2.52523
1.3,1.4647284
2.8,2.5027819
2.6,2.631782
1.9,1.7862892
2.6,2.677748
3.3,3.4649045
2.6,2.826546
2.6,2.6131015
2.4,2.6327758
2.6,2.6578362
3.2,3.325748
2.9,2.6935692
2.9,2.806609
3.3,3.3522532
2.5,2.530301
2.6,2.8028085
2.4,2.558345
1.8,1.7316806
1.3,1.496739
1.3,1.658132
2.8,2.736764
1.8,1.8687279
1.9,1.6398396
2.9,2.752495
2.6,2.706077
2.5,2.6017776
1.9,1.7738419
2.4,2.5247297
2.9,2.8196814
2.6,2.6645
2.8,2.7237668
2.6,2.5781014
1.8,2.020096
2.5,2.6206799
3.2,3.0573378
2.4,2.5190406
2.6,2.7195182
1.7,1.9934969
1.9,1.7121724
2.8,2.3594892
2.4,2.5209215
2.5,2.5351837
2.9,2.8415592
2.8,2.4221692
1.3,1.5197799
2.6,2.803294
3.3,3.1315095
2.5,2.665211
2.9,2.8503528
2.9,2.7725027
2.8,2.3258872
2.6,2.681151
2.8,2.3410413
1.3,1.5347022
1.7,1.871311
2.6,2.7586432
3.2,3.0654643
3.3,3.13376
3.3,3.321178
1.7,1.9364915
2.9,2.8610518
1.8,2.1012857
3.3,3.117743
1.9,1.5904987
2.8,2.6323028
1.9,1.7151885
2.4,2.4777966
2.8,2.5131433
1.3,1.5627983
2.4,2.5904393
2.8,2.6678863
1.9,1.6810757
2.8,2.762168
1.9,1.8768549
3.2,3.3004763
3.3,3.0866868
1.8,1.8348389
2.8,2.8230622
3.2,3.327416
1.7,1.7422504
2.4,2.5580294
2.8,2.90389
3.3,3.489786
2.9,2.722704
2.9,2.7047215
3.2,3.268952
2.6,2.6830606
2.5,2.4397664
1.3,1.4681188
1.3,1.409924
1.9,1.791097
3.2,3.3299003
1.7,1.8985612
2.4,2.5047703
1.8,1.8941746
1.8,1.8348484
2.8,2.216179
3.3,3.2144065
2.6,2.5952125
3.3,3.42735
3.2,3.3001466
2.6,2.6510634
2.8,2.691791
1.8,1.7610204
3.3,3.0126321
3.2,3.2487087
3.2,3.3189895
1.7,1.9884576
2.4,2.4967265
1.8,1.835928
2.8,2.8694665
3.2,3.2641861
1.8,1.9737233
3.2,3.1119854
1.9,1.7059116
3.2,3.047793
2.9,2.8883276
2.4,2.4575593
3.3,3.205709
1.9,1.7180977
2.5,2.5336406
3.2,3.179983
1.7,1.8179153
3.3,3.3210676
1.8,1.7931687
1.8,1.8331766
2.8,2.7082243
2.8,2.7327256
3.3,3.2040446
2.8,3.2331526
2.4,2.5515683
2.5,2.6228564
1.7,1.8571568
1.7,1.8285651
1.9,1.7504158
1.3,1.6214601
1.7,1.9759507
1.7,2.0122051
1.9,1.7862786
2.4,2.5554838
2.9,2.8960068
1.3,1.39591
2.4,2.5161254
1.9,1.7735647
3.3,3.2832808
3.2,3.193166
3.2,3.163377
2.9,2.7670612
1.7,1.8096198
3.2,3.2188647
1.3,1.4709773
2.9,2.765206
2.6,2.7163482
3.3,3.3035312
2.4,2.6293995
3.3,3.2366068
1.3,1.5153208
2.8,2.6172905
2.4,2.549654
1.9,1.862375
2.6,2.685007
2.8,2.4248426
2.8,2.598274
2.6,2.6895404
2.8,2.556272
3.3,3.3915617
1.7,1.9255899
1.3,1.437465
2.8,3.181957
1.9,1.6477815
1.8,1.9561964
1.9,1.7058581
1.7,1.8369632
2.5,2.618803
3.3,3.2314851
2.6,2.681728
1.7,1.9965292
1.9,1.7270933
1.9,1.8288845
1.7,1.9505482
2.4,2.5945272
2.9,2.8839753
2.6,2.3996615
1.3,1.4718907
3.3,3.3015363
2.9,2.7859604
3.3,3.3082342
1.8,1.9046967
1.7,2.0156121
