ytest,ypred
61.84,44.511063
126.65,122.177666
110.95,106.91891
164.87,159.29211
126.65,117.27228
129.06,122.313965
39.96,43.298313
53.53,54.75159
110.95,100.786385
131.05,128.22336
129.06,119.64384
53.53,55.975826
164.87,145.2407
129.06,107.95815
131.05,129.47586
131.05,124.9877
164.87,159.60362
61.84,48.547707
39.96,43.806824
48.66,46.96297
61.84,49.743244
131.05,115.12985
48.66,61.294018
117.49,113.69576
48.66,48.801373
53.53,47.35616
39.96,46.348778
48.66,55.194397
110.95,117.65772
192.15,178.25446
39.96,44.69202
61.84,43.200047
48.66,46.28336
110.95,131.76256
129.06,118.31973
126.65,136.42938
48.66,48.803535
53.53,49.44376
131.05,127.18462
117.49,98.560165
48.66,67.53834
110.95,103.569176
48.66,52.03323
110.95,107.17478
39.96,44.52216
164.87,161.15384
164.87,156.8588
117.49,112.65019
131.05,119.7046
53.53,52.155384
48.66,50.993202
164.87,155.47177
126.65,123.14026
131.05,138.2214
48.66,50.83024
164.87,155.80168
131.05,134.5604
192.15,191.23952
131.05,113.03217
129.06,113.2667
39.96,42.64093
117.49,110.82925
126.65,129.4947
61.84,47.9864
126.65,124.31682
192.15,191.8006
126.65,136.55379
126.65,123.396225
110.95,115.02203
126.65,128.40338
131.05,135.82138
164.87,141.7417
164.87,161.38362
192.15,184.41222
129.06,117.1684
126.65,138.83298
110.95,114.86996
48.66,46.788773
39.96,41.902534
39.96,46.07337
117.49,93.31388
48.66,46.97387
61.84,44.495735
164.87,151.52861
126.65,140.14056
129.06,115.94369
61.84,47.55202
110.95,117.07169
164.87,154.42853
126.65,122.6277
117.49,99.63363
126.65,126.710396
48.66,57.91087
129.06,119.45579
131.05,138.06934
110.95,117.669395
126.65,152.76384
53.53,56.777653
61.84,47.949657
117.49,85.55332
110.95,115.40346
129.06,116.0431
164.87,155.72005
117.49,99.84331
39.96,44.07742
126.65,153.69669
192.15,189.09222
129.06,121.25914
164.87,163.52829
164.87,161.93866
117.49,93.4049
126.65,133.04361
117.49,71.47239
39.96,43.884655
53.53,45.992275
126.65,142.11273
131.05,140.01146
192.15,186.55211
192.15,184.46594
53.53,51.924065
164.87,159.08081
48.66,62.96992
192.15,171.14719
61.84,45.31555
117.49,97.11776
61.84,46.871616
110.95,127.99076
117.49,103.88624
39.96,44.311436
110.95,122.64294
117.49,87.624535
61.84,46.98884
117.49,101.25608
61.84,49.54603
131.05,126.84565
192.15,182.40701
48.66,49.830585
117.49,109.707115
131.05,128.48727
53.53,47.75232
110.95,102.88953
117.49,122.07232
192.15,202.21835
164.87,151.5917
164.87,154.35753
131.05,131.11076
126.65,146.10818
129.06,109.01821
39.96,42.64568
39.96,43.66295
61.84,49.033627
131.05,136.16785
53.53,54.68118
110.95,120.74203
48.66,55.534885
48.66,46.97085
117.49,90.565025
192.15,171.09665
126.65,125.818535
192.15,197.94846
131.05,129.97356
126.65,127.55233
117.49,91.1058
48.66,43.834557
192.15,182.41574
131.05,130.59518
131.05,132.28775
53.53,56.334347
110.95,113.243
48.66,55.648464
117.49,110.389
131.05,111.295975
48.66,54.94795
131.05,131.68903
61.84,47.6815
131.05,123.61031
164.87,159.86914
110.95,109.46789
192.15,180.69456
61.84,47.13111
129.06,114.03345
131.05,131.45152
53.53,45.914425
192.15,211.26462
48.66,47.4242
48.66,47.250935
117.49,108.48969
117.49,109.2468
192.15,184.7241
117.49,125.300125
110.95,105.72223
129.06,120.57341
53.53,51.7907
53.53,46.41609
61.84,49.331573
39.96,44.066093
53.53,51.661095
53.53,54.97919
61.84,48.426197
110.95,109.57352
164.87,168.5847
39.96,42.40864
110.95,108.56257
61.84,47.567463
192.15,176.7674
131.05,127.4418
131.05,120.65362
164.87,166.6825
53.53,48.024605
131.05,123.48918
39.96,42.591354
164.87,153.60565
126.65,127.40516
192.15,176.63652
110.95,116.28016
192.15,165.79999
39.96,44.07533
117.49,88.83165
110.95,99.308495
61.84,48.902153
126.65,131.46019
117.49,101.23976
117.49,103.50881
126.65,125.25612
117.49,100.474304
192.15,178.04161
53.53,51.87617
39.96,43.446728
117.49,124.4683
61.84,46.690826
48.66,56.8127
61.84,47.66416
53.53,53.63392
129.06,120.78861
192.15,179.35815
126.65,130.23651
53.53,70.77567
61.84,47.37537
61.84,48.52502
53.53,52.15206
110.95,112.96084
164.87,159.86018
126.65,118.39381
39.96,42.70105
192.15,184.30136
164.87,162.32187
192.15,181.52626
48.66,55.970665
53.53,54.98631
