ytest,ypred
13.75,16.864315
21.09,20.176422
11.85,11.541588
12.01,12.910333
21.09,19.143112
21.22,21.54002
16.99,17.366222
8.02,12.130509
11.85,11.46863
20.8,21.133062
21.22,21.284805
8.02,7.256682
12.01,15.022352
21.22,21.032082
20.8,21.570452
20.8,21.686125
12.01,12.978818
13.75,13.860516
16.99,16.194016
18.04,19.296213
13.75,14.460501
20.8,20.968979
18.04,17.556305
13.53,13.562706
18.04,17.864758
8.02,8.16413
16.99,16.502663
18.04,17.301798
11.85,12.042971
17.81,19.443493
16.99,14.452009
13.75,16.8776
18.04,18.561464
11.85,11.738028
21.22,21.435688
21.09,21.659481
18.04,18.4232
8.02,8.450977
20.8,20.793196
13.53,14.580885
18.04,17.387186
11.85,12.285549
18.04,17.754974
11.85,12.436979
16.99,16.512558
12.01,12.496702
12.01,12.558481
13.53,14.079662
20.8,21.240568
8.02,7.9188237
18.04,15.273816
12.01,12.657979
21.09,19.045557
20.8,22.148388
18.04,18.89427
12.01,15.885405
20.8,21.631126
17.81,18.57306
20.8,20.393991
21.22,20.522444
16.99,16.912605
13.53,14.614468
21.09,21.371014
13.75,15.037187
21.09,22.369684
17.81,18.409021
21.09,21.019283
21.09,22.309668
11.85,11.959154
21.09,21.631811
20.8,21.18163
12.01,16.554724
12.01,12.434879
17.81,17.571627
21.22,21.413876
21.09,18.954376
11.85,11.947497
18.04,19.436304
16.99,17.42848
16.99,16.601711
13.53,13.965416
18.04,18.784063
13.75,16.10531
12.01,14.104265
21.09,19.071394
21.22,20.819538
13.75,15.169379
11.85,11.347257
12.01,15.0698185
21.09,21.963705
13.53,13.636966
21.09,18.986788
18.04,17.049078
21.22,20.841835
20.8,20.446115
11.85,11.535626
21.09,15.250802
8.02,8.412394
13.75,15.350716
13.53,16.02245
11.85,11.33863
21.22,20.934954
12.01,11.752554
13.53,13.323568
16.99,16.870104
21.09,14.692887
17.81,19.419945
21.22,21.267403
12.01,11.425207
12.01,13.179061
13.53,15.353026
21.09,19.708132
13.53,15.611197
16.99,16.497643
8.02,7.4089794
21.09,21.558321
20.8,20.50791
17.81,19.51688
17.81,18.975348
8.02,12.365874
12.01,11.766392
18.04,17.195482
17.81,19.133135
13.75,16.368057
13.53,13.901765
13.75,16.115755
11.85,11.258736
13.53,14.378538
16.99,16.744905
11.85,11.306147
13.53,14.029917
13.75,16.55239
13.53,13.740999
13.75,13.7006
20.8,20.88965
17.81,18.900347
18.04,16.113426
13.53,13.759839
20.8,21.684034
8.02,8.423782
11.85,11.965248
13.53,13.125374
17.81,18.730505
12.01,15.824403
12.01,14.295953
20.8,21.041945
21.09,16.607077
21.22,21.266117
16.99,17.007032
16.99,17.002003
13.75,15.702491
20.8,21.473888
8.02,11.631205
11.85,11.244043
18.04,18.236742
18.04,18.623549
13.53,16.55434
17.81,18.959211
21.09,18.81079
17.81,18.361383
20.8,21.022633
21.09,18.831182
13.53,14.481079
18.04,17.774412
17.81,19.415026
20.8,21.554144
20.8,20.834497
8.02,9.908711
11.85,12.225259
18.04,17.74872
13.53,13.275984
20.8,20.939535
18.04,17.905544
20.8,21.068632
13.75,15.351941
20.8,20.373798
12.01,11.363144
11.85,11.893177
17.81,19.420523
13.75,15.298893
21.22,20.8566
20.8,19.88179
8.02,8.264237
17.81,18.091066
18.04,17.592009
18.04,19.133505
13.53,13.437718
13.53,13.347466
17.81,16.053534
13.53,13.919165
11.85,11.906276
21.22,21.30279
8.02,10.03572
8.02,9.274014
13.75,13.132133
16.99,17.408619
8.02,10.455336
8.02,13.342711
13.75,15.303135
11.85,12.354918
12.01,11.873896
16.99,16.95703
11.85,11.680171
13.75,15.77221
17.81,17.938845
20.8,21.32846
20.8,20.459015
12.01,12.955889
8.02,6.6658125
20.8,21.110071
16.99,16.756157
12.01,13.2737875
21.09,22.899445
17.81,18.131948
11.85,12.327032
17.81,17.509008
16.99,16.46857
13.53,14.037736
11.85,11.413559
13.75,14.472245
21.09,21.481289
13.53,15.333527
13.53,13.088867
21.09,21.228292
13.53,13.459721
17.81,18.699774
8.02,7.481116
16.99,16.326542
13.53,13.8942375
13.75,15.663889
18.04,17.70004
13.75,15.562584
8.02,14.55456
21.22,21.052334
17.81,19.676027
21.09,21.637657
8.02,8.227918
13.75,14.941805
13.75,15.81771
8.02,11.195118
11.85,11.822162
12.01,12.659019
21.09,17.799099
16.99,17.419714
17.81,19.767982
12.01,13.098168
17.81,18.99465
18.04,18.125818
8.02,7.0749016
