参数,拟合结果,值
设备S,均方误差(MSE):,42.57680415144836
设备S,R方：,0.5438081146659464
设备S,rmse:,6.525090355807217
设备S,vaf:,57.37810076572847
设备S,mape:,3.9063843027014515
设备S,spi:,-0.17312681187886092
设备Z,均方误差(MSE):,0.03118174773187467
设备Z,R方：,0.9247557563618657
设备Z,rmse:,0.17658354320795205
设备Z,vaf:,92.47836976850947
设备Z,mape:,6.232937373202859
设备Z,spi:,0.005285955280648993
静态抗压强度,均方误差(MSE):,736.0528583654626
静态抗压强度,R方：,0.6764114841421445
静态抗压强度,rmse:,27.130294107610823
静态抗压强度,vaf:,68.59155849408137
静态抗压强度,mape:,32.31553057747709
静态抗压强度,spi:,0.09748897783169747
弹性模量,均方误差(MSE):,60.22963602356689
弹性模量,R方：,0.802610312463425
弹性模量,rmse:,7.760775478234562
弹性模量,vaf:,80.48148902577292
弹性模量,mape:,13.27752152027154
弹性模量,spi:,0.046952931690194676
泊松比,均方误差(MSE):,0.0012824427480916038
泊松比,R方：,-0.06632556652179611
泊松比,rmse:,0.03581120981049934
泊松比,vaf:,0.0
泊松比,mape:,11.430765913970276
泊松比,spi:,0.2575375050779905
抗拉强度,均方误差(MSE):,3.871481609233601
抗拉强度,R方：,0.4975695785959472
抗拉强度,rmse:,1.9676080934051885
抗拉强度,vaf:,53.013472483383154
抗拉强度,mape:,15.11820520145113
抗拉强度,spi:,-0.1804581564736946
黏聚力,均方误差(MSE):,5.638728760616872
黏聚力,R方：,0.6692991022099799
黏聚力,rmse:,2.3746007581521726
黏聚力,vaf:,66.93747365353994
黏聚力,mape:,13.131615529557722
黏聚力,spi:,-0.008696799722853366
内摩擦角,均方误差(MSE):,10.587925763741787
内摩擦角,R方：,0.549844731341433
内摩擦角,rmse:,3.2539093047812178
内摩擦角,vaf:,58.446892863678
内摩擦角,mape:,5.120010428136692
内摩擦角,spi:,0.18607578374239664
回弹均值,均方误差(MSE):,52.46745021676741
回弹均值,R方：,0.7102347650921553
回弹均值,rmse:,7.243441876398776
回弹均值,vaf:,74.61805641903567
回弹均值,mape:,10.807753910036348
回弹均值,spi:,0.18959377389092033
动态强度,均方误差(MSE):,2113.8898515386904
动态强度,R方：,0.48755597426414865
动态强度,rmse:,45.977057882586294
动态强度,vaf:,48.78076233573063
动态强度,mape:,14.8487763059487
动态强度,spi:,0.015863451489432114
滑动摩擦系数,均方误差(MSE):,0.0016477748091603055
滑动摩擦系数,R方：,-0.10746647892616656
滑动摩擦系数,rmse:,0.04059279257651911
滑动摩擦系数,vaf:,0.0
滑动摩擦系数,mape:,24.732797277178424
滑动摩擦系数,spi:,0.32782080307107775
声级,均方误差(MSE):,1.9484521088795965
声级,R方：,0.9062725531342655
声级,rmse:,1.3958696604194807
声级,vaf:,90.69794880687351
声级,mape:,0.8635414549564344
声级,spi:,-0.026588248051902724
波速,均方误差(MSE):,0.175682766201077
波速,R方：,0.8791896522498602
波速,rmse:,0.419145280542531
波速,vaf:,88.07127171291368
波速,mape:,6.092478223414907
波速,spi:,0.03902646383259162
密度均值,均方误差(MSE):,0.04284679040087461
密度均值,R方：,0.8667641080413786
密度均值,rmse:,0.20699466273523723
密度均值,vaf:,86.75930216261584
密度均值,mape:,4.470111893476597
密度均值,spi:,-0.028790859396340723
渗透率,均方误差(MSE):,0.00445898034676336
渗透率,R方：,-0.3705062491870741
渗透率,rmse:,0.06677559694052432
渗透率,vaf:,1.1102230246251565e-14
渗透率,mape:,3114.108093859272
渗透率,spi:,0.6086922450525174
孔隙度,均方误差(MSE):,12.080450119836378
孔隙度,R方：,0.7092904250740153
孔隙度,rmse:,3.4756941925083655
孔隙度,vaf:,74.21133307416974
孔隙度,mape:,34.38723496991266
孔隙度,spi:,-0.1811709294221405
标定温度,均方误差(MSE):,1.2591894299712234
标定温度,R方：,0.9315559971493912
标定温度,rmse:,1.12213610135813
标定温度,vaf:,93.1746130031245
标定温度,mape:,1.3063225291359237
标定温度,spi:,0.013788868041066082
