ytest,ypred
45.7,49.35228207426128
32.4,44.915880910687974
32.4,52.17264559809041
71.0,70.41837980827918
70.0,69.43927852556519
67.0,67.6229441561075
45.7,43.70509828744048
58.0,58.41803552902666
68.0,67.96824221730492
62.0,62.88888708692591
45.7,42.78166358865008
45.7,45.953918704994535
32.4,48.61879521078403
68.0,67.50478220545392
32.4,43.99466071486307
45.7,54.110917216660525
45.7,50.25633649366659
32.4,43.32504489624973
67.0,67.63871370834153
71.0,69.67242186862507
70.0,70.4660613648545
62.0,61.41733562043634
68.0,68.3784032939077
67.0,67.64822949512813
32.4,51.65129863801787
58.0,54.70388106255262
44.0,57.16067308619702
44.0,54.761417293107534
32.4,41.461564735658314
65.0,62.919905681568494
72.0,69.52149889118607
44.0,57.73127210308345
32.4,48.87802046218254
62.0,62.42650667136632
44.0,55.66253184044867
70.0,70.25537457189829
65.0,59.969240609239094
44.0,57.04386741075057
62.0,61.99394495875127
65.0,61.36952120103471
72.0,71.14524648726693
71.0,70.18400471345186
44.0,56.02339981265839
68.0,68.77388524085734
45.7,44.87941804935414
70.0,69.73202549369596
70.0,69.0732751955955
58.0,57.270727030555335
72.0,69.74333619678933
32.4,49.15771955234989
62.0,61.73914178580231
70.0,69.48590049914313
65.0,60.55029930321498
62.0,62.738164383927895
58.0,59.11883521546694
72.0,70.2649579325277
62.0,63.92001466666907
62.0,62.3800256388011
68.0,67.65221593840016
68.0,67.24239711380861
44.0,57.054599581027
58.0,57.97112540626553
67.0,67.75347712585685
72.0,72.54943048325872
67.0,68.27889679661124
62.0,61.68224439627081
62.0,58.74974672342244
72.0,68.91295366811421
71.0,70.40152427604119
71.0,70.53381467194986
62.0,62.89669278056498
67.0,68.08251738481614
71.0,68.91528853506874
71.0,70.70879573728288
72.0,69.72227785019274
58.0,55.56707085655042
71.0,71.6481778583965
44.0,57.085689453213654
72.0,69.50968301399257
72.0,69.2621374421832
58.0,49.314372852038844
45.7,44.613330145189146
32.4,47.995749234092145
71.0,71.50731017935723
32.4,44.64476564491832
44.0,57.31664499457285
71.0,70.80505929650973
44.0,60.115903991459724
67.0,73.38638185789392
67.0,69.15028470530527
62.0,60.40342519195717
67.0,67.81210831204137
71.0,70.03992484752945
45.7,46.7097583755218
62.0,62.716418437559035
32.4,49.651832418081554
65.0,59.40789291451804
67.0,71.20639931124043
67.0,67.63021264369765
68.0,66.09668515265697
