ytest,ypred
0.27,0.26
0.24,0.26
0.24,0.26
0.21,0.26
0.19,0.26
0.27,0.26
0.27,0.26
0.24,0.26
0.26,0.26
0.26,0.26
0.27,0.26
0.27,0.26
0.24,0.26
0.26,0.26
0.24,0.26
0.27,0.26
0.27,0.26
0.24,0.26
0.27,0.26
0.21,0.26
0.19,0.26
0.26,0.26
0.26,0.26
0.27,0.26
0.24,0.26
0.24,0.26
0.28,0.26
0.28,0.26
0.24,0.26
0.33,0.26
0.23,0.26
0.28,0.26
0.24,0.26
0.26,0.26
0.28,0.26
0.19,0.26
0.33,0.26
0.28,0.26
0.26,0.26
0.33,0.26
0.23,0.26
0.21,0.26
0.28,0.26
0.26,0.26
0.27,0.26
0.19,0.26
0.19,0.26
0.24,0.26
0.23,0.26
0.24,0.26
0.26,0.26
0.19,0.26
0.33,0.26
0.26,0.26
0.24,0.26
0.23,0.26
0.26,0.26
0.26,0.26
0.26,0.26
0.26,0.26
0.28,0.26
0.24,0.26
0.27,0.26
0.23,0.26
0.27,0.26
0.26,0.26
0.26,0.26
0.23,0.26
0.21,0.26
0.21,0.26
0.26,0.26
0.27,0.26
0.21,0.26
0.21,0.26
0.23,0.26
0.24,0.26
0.21,0.26
0.28,0.26
0.23,0.26
0.23,0.26
0.24,0.26
0.27,0.26
0.24,0.26
0.21,0.26
0.24,0.26
0.28,0.26
0.21,0.26
0.28,0.26
0.27,0.26
0.27,0.26
0.26,0.26
0.27,0.26
0.21,0.26
0.27,0.26
0.26,0.26
0.24,0.26
0.33,0.26
0.27,0.26
0.27,0.26
0.26,0.26
0.27,0.26
0.26,0.26
0.24,0.26
0.26,0.26
0.24,0.26
0.24,0.26
0.24,0.26
0.27,0.26
0.19,0.26
0.33,0.26
0.24,0.26
0.28,0.26
0.19,0.26
0.23,0.26
0.27,0.26
0.19,0.26
0.24,0.26
0.27,0.26
0.24,0.26
0.23,0.26
0.24,0.26
0.26,0.26
0.27,0.26
0.24,0.26
0.19,0.26
0.26,0.26
0.28,0.26
0.24,0.26
0.27,0.26
0.24,0.26
0.24,0.26
0.28,0.26
0.26,0.26
0.33,0.26
0.33,0.26
0.27,0.26
0.19,0.26
0.19,0.26
0.27,0.26
0.26,0.26
0.24,0.26
0.33,0.26
0.26,0.26
0.33,0.26
0.28,0.26
0.28,0.26
0.27,0.26
0.19,0.26
0.26,0.26
0.24,0.26
0.21,0.26
0.26,0.26
0.26,0.26
0.26,0.26
0.28,0.26
0.26,0.26
0.23,0.26
0.19,0.26
0.26,0.26
0.24,0.26
0.26,0.26
0.19,0.26
0.19,0.26
0.24,0.26
0.23,0.26
0.24,0.26
0.27,0.26
0.24,0.26
0.24,0.26
0.23,0.26
0.26,0.26
0.26,0.26
0.33,0.26
0.27,0.26
0.28,0.26
0.27,0.26
0.33,0.26
0.24,0.26
0.24,0.26
0.19,0.26
0.23,0.26
0.33,0.26
0.21,0.26
0.33,0.26
0.19,0.26
0.26,0.26
0.24,0.26
0.24,0.26
0.24,0.26
0.27,0.26
0.19,0.26
0.19,0.26
0.27,0.26
0.24,0.26
0.24,0.26
0.19,0.26
0.24,0.26
0.27,0.26
0.27,0.26
0.33,0.26
0.23,0.26
0.19,0.26
0.27,0.26
0.28,0.26
0.24,0.26
0.23,0.26
0.23,0.26
0.27,0.26
0.33,0.26
0.24,0.26
0.19,0.26
0.28,0.26
0.23,0.26
0.26,0.26
0.28,0.26
0.23,0.26
0.23,0.26
0.26,0.26
0.26,0.26
0.24,0.26
0.33,0.26
0.26,0.26
0.28,0.26
0.24,0.26
0.24,0.26
0.23,0.26
0.21,0.26
0.21,0.26
0.27,0.26
0.19,0.26
0.24,0.26
0.21,0.26
0.19,0.26
0.21,0.26
0.23,0.26
0.27,0.26
0.24,0.26
0.28,0.26
0.24,0.26
0.23,0.26
0.24,0.26
0.19,0.26
0.24,0.26
0.26,0.26
0.24,0.26
0.24,0.26
0.27,0.26
0.24,0.26
0.27,0.26
0.26,0.26
0.33,0.26
0.21,0.26
0.26,0.26
0.27,0.26
0.23,0.26
0.24,0.26
0.33,0.26
0.23,0.26
0.33,0.26
0.27,0.26
0.27,0.26
0.33,0.26
