ytest,ypred
0.09265,0.0772
0.15382,0.0772
0.15382,0.0772
0.02872,0.0772
0.0234,0.0772
0.00058,0.0772
0.09265,0.0772
0.00323,0.0772
0.00097,0.0772
0.00176,0.0772
0.09265,0.0772
0.09265,0.0772
0.15382,0.0772
0.00097,0.0772
0.15382,0.0772
0.09265,0.0772
0.09265,0.0772
0.15382,0.0772
0.00058,0.0772
0.02872,0.0772
0.0234,0.0772
0.00176,0.0772
0.00097,0.0772
0.00058,0.0772
0.15382,0.0772
0.00323,0.0772
0.117604,0.0772
0.117604,0.0772
0.15382,0.0772
0.00229,0.0772
0.0026,0.0772
0.117604,0.0772
0.15382,0.0772
0.00176,0.0772
0.117604,0.0772
0.0234,0.0772
0.00229,0.0772
0.117604,0.0772
0.00176,0.0772
0.00229,0.0772
0.0026,0.0772
0.02872,0.0772
0.117604,0.0772
0.00097,0.0772
0.09265,0.0772
0.0234,0.0772
0.0234,0.0772
0.00323,0.0772
0.0026,0.0772
0.15382,0.0772
0.00176,0.0772
0.0234,0.0772
0.00229,0.0772
0.00176,0.0772
0.00323,0.0772
0.0026,0.0772
0.00176,0.0772
0.00176,0.0772
0.00097,0.0772
0.00097,0.0772
0.117604,0.0772
0.00323,0.0772
0.00058,0.0772
0.0026,0.0772
0.00058,0.0772
0.00176,0.0772
0.00176,0.0772
0.0026,0.0772
0.02872,0.0772
0.02872,0.0772
0.00176,0.0772
0.00058,0.0772
0.02872,0.0772
0.02872,0.0772
0.0026,0.0772
0.00323,0.0772
0.02872,0.0772
0.117604,0.0772
0.0026,0.0772
0.0026,0.0772
0.00323,0.0772
0.09265,0.0772
0.15382,0.0772
0.02872,0.0772
0.15382,0.0772
0.117604,0.0772
0.02872,0.0772
0.117604,0.0772
0.00058,0.0772
0.00058,0.0772
0.00176,0.0772
0.00058,0.0772
0.02872,0.0772
0.09265,0.0772
0.00176,0.0772
0.15382,0.0772
0.00229,0.0772
0.00058,0.0772
0.00058,0.0772
0.00097,0.0772
0.00058,0.0772
0.00097,0.0772
0.15382,0.0772
0.00097,0.0772
0.00323,0.0772
0.15382,0.0772
0.00323,0.0772
0.09265,0.0772
0.0234,0.0772
0.00229,0.0772
0.00323,0.0772
0.117604,0.0772
0.0234,0.0772
0.0026,0.0772
0.00058,0.0772
0.0234,0.0772
0.15382,0.0772
0.00058,0.0772
0.15382,0.0772
0.0026,0.0772
0.00323,0.0772
0.00176,0.0772
0.00058,0.0772
0.15382,0.0772
0.0234,0.0772
0.00097,0.0772
0.117604,0.0772
0.00323,0.0772
0.00058,0.0772
0.15382,0.0772
0.15382,0.0772
0.117604,0.0772
0.00176,0.0772
0.00229,0.0772
0.00229,0.0772
0.00058,0.0772
0.0234,0.0772
0.0234,0.0772
0.09265,0.0772
0.00097,0.0772
0.15382,0.0772
0.00229,0.0772
0.00097,0.0772
0.00229,0.0772
0.117604,0.0772
0.117604,0.0772
0.09265,0.0772
0.0234,0.0772
0.00097,0.0772
0.15382,0.0772
0.02872,0.0772
0.00097,0.0772
0.00176,0.0772
0.00097,0.0772
0.117604,0.0772
0.00176,0.0772
0.0026,0.0772
0.0234,0.0772
0.00097,0.0772
0.00323,0.0772
0.00176,0.0772
0.0234,0.0772
0.0234,0.0772
0.15382,0.0772
0.0026,0.0772
0.15382,0.0772
0.09265,0.0772
0.15382,0.0772
0.15382,0.0772
0.0026,0.0772
0.00176,0.0772
0.00176,0.0772
0.00229,0.0772
0.09265,0.0772
0.117604,0.0772
0.00058,0.0772
0.00229,0.0772
0.00323,0.0772
0.15382,0.0772
0.0234,0.0772
0.0026,0.0772
0.00229,0.0772
0.02872,0.0772
0.00229,0.0772
0.0234,0.0772
0.00176,0.0772
0.00323,0.0772
0.15382,0.0772
0.15382,0.0772
0.09265,0.0772
0.0234,0.0772
0.0234,0.0772
0.09265,0.0772
0.00323,0.0772
0.00323,0.0772
0.0234,0.0772
0.00323,0.0772
0.09265,0.0772
0.00058,0.0772
0.00229,0.0772
0.0026,0.0772
0.0234,0.0772
0.00058,0.0772
0.117604,0.0772
0.00323,0.0772
0.0026,0.0772
0.0026,0.0772
0.09265,0.0772
0.00229,0.0772
0.00323,0.0772
0.0234,0.0772
0.117604,0.0772
0.0026,0.0772
0.00176,0.0772
0.117604,0.0772
0.0026,0.0772
0.0026,0.0772
0.00176,0.0772
0.00097,0.0772
0.00323,0.0772
0.00229,0.0772
0.00176,0.0772
0.117604,0.0772
0.00323,0.0772
0.15382,0.0772
0.0026,0.0772
0.02872,0.0772
0.02872,0.0772
0.00058,0.0772
0.0234,0.0772
0.00323,0.0772
0.02872,0.0772
0.0234,0.0772
0.02872,0.0772
0.0026,0.0772
0.00058,0.0772
0.00323,0.0772
0.117604,0.0772
0.15382,0.0772
0.0026,0.0772
0.15382,0.0772
0.0234,0.0772
0.15382,0.0772
0.00097,0.0772
0.00323,0.0772
0.15382,0.0772
0.00058,0.0772
0.15382,0.0772
0.00058,0.0772
0.00097,0.0772
0.00229,0.0772
0.02872,0.0772
0.00097,0.0772
0.00058,0.0772
0.0026,0.0772
0.15382,0.0772
0.00229,0.0772
0.0026,0.0772
0.00229,0.0772
0.09265,0.0772
0.00058,0.0772
0.00229,0.0772
