ytest,ypred
0.207,0.177
0.187,0.177
0.187,0.177
0.119,0.177
0.123,0.177
0.147,0.177
0.207,0.177
0.218,0.177
0.149,0.177
0.153,0.177
0.207,0.177
0.207,0.177
0.187,0.177
0.149,0.177
0.187,0.177
0.207,0.177
0.207,0.177
0.187,0.177
0.147,0.177
0.119,0.177
0.123,0.177
0.153,0.177
0.149,0.177
0.147,0.177
0.187,0.177
0.218,0.177
0.235,0.177
0.235,0.177
0.187,0.177
0.143,0.177
0.121,0.177
0.235,0.177
0.187,0.177
0.153,0.177
0.235,0.177
0.123,0.177
0.143,0.177
0.235,0.177
0.153,0.177
0.143,0.177
0.121,0.177
0.119,0.177
0.235,0.177
0.149,0.177
0.207,0.177
0.123,0.177
0.123,0.177
0.218,0.177
0.121,0.177
0.187,0.177
0.153,0.177
0.123,0.177
0.143,0.177
0.153,0.177
0.218,0.177
0.121,0.177
0.153,0.177
0.153,0.177
0.149,0.177
0.149,0.177
0.235,0.177
0.218,0.177
0.147,0.177
0.121,0.177
0.147,0.177
0.153,0.177
0.153,0.177
0.121,0.177
0.119,0.177
0.119,0.177
0.153,0.177
0.147,0.177
0.119,0.177
0.119,0.177
0.121,0.177
0.218,0.177
0.119,0.177
0.235,0.177
0.121,0.177
0.121,0.177
0.218,0.177
0.207,0.177
0.187,0.177
0.119,0.177
0.187,0.177
0.235,0.177
0.119,0.177
0.235,0.177
0.147,0.177
0.147,0.177
0.153,0.177
0.147,0.177
0.119,0.177
0.207,0.177
0.153,0.177
0.187,0.177
0.143,0.177
0.147,0.177
0.147,0.177
0.149,0.177
0.147,0.177
0.149,0.177
0.187,0.177
0.149,0.177
0.218,0.177
0.187,0.177
0.218,0.177
0.207,0.177
0.123,0.177
0.143,0.177
0.218,0.177
0.235,0.177
0.123,0.177
0.121,0.177
0.147,0.177
0.123,0.177
0.187,0.177
0.147,0.177
0.187,0.177
0.121,0.177
0.218,0.177
0.153,0.177
0.147,0.177
0.187,0.177
0.123,0.177
0.149,0.177
0.235,0.177
0.218,0.177
0.147,0.177
0.187,0.177
0.187,0.177
0.235,0.177
0.153,0.177
0.143,0.177
0.143,0.177
0.147,0.177
0.123,0.177
0.123,0.177
0.207,0.177
0.149,0.177
0.187,0.177
0.143,0.177
0.149,0.177
0.143,0.177
0.235,0.177
0.235,0.177
0.207,0.177
0.123,0.177
0.149,0.177
0.187,0.177
0.119,0.177
0.149,0.177
0.153,0.177
0.149,0.177
0.235,0.177
0.153,0.177
0.121,0.177
0.123,0.177
0.149,0.177
0.218,0.177
0.153,0.177
0.123,0.177
0.123,0.177
0.187,0.177
0.121,0.177
0.187,0.177
0.207,0.177
0.187,0.177
0.187,0.177
0.121,0.177
0.153,0.177
0.153,0.177
0.143,0.177
0.207,0.177
0.235,0.177
0.147,0.177
0.143,0.177
0.218,0.177
0.187,0.177
0.123,0.177
0.121,0.177
0.143,0.177
0.119,0.177
0.143,0.177
0.123,0.177
0.153,0.177
0.218,0.177
0.187,0.177
0.187,0.177
0.207,0.177
0.123,0.177
0.123,0.177
0.207,0.177
0.218,0.177
0.218,0.177
0.123,0.177
0.218,0.177
0.207,0.177
0.147,0.177
0.143,0.177
0.121,0.177
0.123,0.177
0.147,0.177
0.235,0.177
0.218,0.177
0.121,0.177
0.121,0.177
0.207,0.177
0.143,0.177
0.218,0.177
0.123,0.177
0.235,0.177
0.121,0.177
0.153,0.177
0.235,0.177
0.121,0.177
0.121,0.177
0.153,0.177
0.149,0.177
0.218,0.177
0.143,0.177
0.153,0.177
0.235,0.177
0.218,0.177
0.187,0.177
0.121,0.177
0.119,0.177
0.119,0.177
0.147,0.177
0.123,0.177
0.218,0.177
0.119,0.177
0.123,0.177
0.119,0.177
0.121,0.177
0.147,0.177
0.218,0.177
0.235,0.177
0.187,0.177
0.121,0.177
0.187,0.177
0.123,0.177
0.187,0.177
0.149,0.177
0.218,0.177
0.187,0.177
0.147,0.177
0.187,0.177
0.147,0.177
0.149,0.177
0.143,0.177
0.119,0.177
0.149,0.177
0.147,0.177
0.121,0.177
0.187,0.177
0.143,0.177
0.121,0.177
0.143,0.177
0.207,0.177
0.147,0.177
0.143,0.177
