遗传代数,参数,R平方
0,"{'max_depth': 9, 'learning_rate': 0.108048046748779, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.9682954293177737}",0.9920240463305603
1,"{'max_depth': 9, 'learning_rate': 0.108048046748779, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.9682954293177737}",0.9920240463305603
2,"{'max_depth': 9, 'learning_rate': 0.108048046748779, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.9682954293177737}",0.9920240463305603
3,"{'max_depth': 9, 'learning_rate': 0.108048046748779, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.811505356473875}",0.9919873820131431
4,"{'max_depth': 9, 'learning_rate': 0.108048046748779, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.811505356473875}",0.9921107705588048
5,"{'max_depth': 9, 'learning_rate': 0.108048046748779, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.811505356473875}",0.9921107705588048
6,"{'max_depth': 9, 'learning_rate': 0.108048046748779, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.811505356473875}",0.9919873820131431
7,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.811505356473875}",0.9933360446086993
8,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
9,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
10,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.811505356473875}",0.9933360446086993
11,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.811505356473875}",0.9933360446086993
12,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
13,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
14,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
15,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
16,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
17,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
18,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
19,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
20,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
21,"{'max_depth': 9, 'learning_rate': 0.2413967238494938, 'subsample': 0.6620159864385836, 'colsample_bytree': 0.8201990185910035}",0.9933360446086993
