参数,拟合结果,值
设备S,均方误差(MSE):,1.5003513396946924
设备S,R方：,0.9839243898183582
设备S,rmse:,1.224888296823303
设备S,vaf:,98.40920196471107
设备S,mape:,0.5788593478502452
设备S,spi:,-0.012947193856301002
设备Z,均方误差(MSE):,0.012197423664122041
设备Z,R方：,0.9705665658694762
设备Z,rmse:,0.11044194703156061
设备Z,vaf:,97.05922640558298
设备Z,mape:,2.1344914439509752
设备Z,spi:,-0.005069337861460103
静态抗压强度,均方误差(MSE):,43.51514307068717
静态抗压强度,R方：,0.9808695796727761
静态抗压强度,rmse:,6.596600872471152
静态抗压强度,vaf:,98.09702841734153
静态抗压强度,mape:,3.13185598237835
静态抗压强度,spi:,-0.01003516320939859
弹性模量,均方误差(MSE):,5.618971332442757
弹性模量,R方：,0.9815850290851191
弹性模量,rmse:,2.370436949687284
弹性模量,vaf:,98.1629657982871
弹性模量,mape:,1.884272295274412
弹性模量,spi:,-0.00668048634097683
泊松比,均方误差(MSE):,8.336713740458102e-05
泊松比,R方：,0.9306818880183723
泊松比,rmse:,0.009130560629259356
泊松比,vaf:,93.07531470606754
泊松比,mape:,1.3492323685031025
泊松比,spi:,-0.008441507110890504
抗拉强度,均方误差(MSE):,0.6723357380534365
抗拉强度,R方：,0.9127460847574415
抗拉强度,rmse:,0.8199608149499807
抗拉强度,vaf:,91.29012056753731
抗拉强度,mape:,5.271611084395223
抗拉强度,spi:,-0.012454754832259312
黏聚力,均方误差(MSE):,1.0535110305343507
黏聚力,R方：,0.9382135480495635
黏聚力,rmse:,1.0264068542904177
黏聚力,vaf:,93.82622499031034
黏聚力,mape:,3.226247041610321
黏聚力,spi:,0.006978671330553673
内摩擦角,均方误差(MSE):,1.2310742147710014
内摩擦角,R方：,0.9476597629928009
内摩擦角,rmse:,1.1095378383683008
内摩擦角,vaf:,94.78978670167017
内摩擦角,mape:,0.9947203358120226
内摩擦角,spi:,0.015430619686220236
回弹均值,均方误差(MSE):,5.049350435114512
回弹均值,R方：,0.9721136398106229
回弹均值,rmse:,2.247075974486513
回弹均值,vaf:,97.21187043287458
回弹均值,mape:,1.6796713389027396
回弹均值,spi:,-0.0022504484270331904
动态强度,均方误差(MSE):,139.64983548809184
动态强度,R方：,0.9661464272422818
动态强度,rmse:,11.817353150688687
动态强度,vaf:,96.61780801620145
动态强度,mape:,2.2978342344091027
动态强度,spi:,0.0056260927589825566
滑动摩擦系数,均方误差(MSE):,4.545993473282475e-05
滑动摩擦系数,R方：,0.9694464598130187
滑动摩擦系数,rmse:,0.006742398292360423
滑动摩擦系数,vaf:,96.96583518026361
滑动摩擦系数,mape:,1.3901533453039907
滑动摩擦系数,spi:,0.014556510214243243
声级,均方误差(MSE):,0.3889663816793991
声级,R方：,0.9812893395196783
声级,rmse:,0.6236716938256851
声级,vaf:,98.15339720378853
声级,mape:,0.19229301446434605
声级,spi:,-0.015640732662088503
波速,均方误差(MSE):,0.027489262022900994
波速,R方：,0.9810966813866059
波速,rmse:,0.16579886013752024
波速,vaf:,98.112303380872
波速,mape:,1.139499031378466
波速,spi:,0.005133461026849043
密度均值,均方误差(MSE):,0.013036426908396972
密度均值,R方：,0.9594620752022959
密度均值,rmse:,0.11417717332460535
密度均值,vaf:,95.95240972805654
密度均值,mape:,1.3436149474190937
密度均值,spi:,0.00787540972073687
渗透率,均方误差(MSE):,0.00018808252486221378
渗透率,R方：,0.9421912061411857
渗透率,rmse:,0.013714318242705826
渗透率,vaf:,94.22061064260622
渗透率,mape:,73.19274015146095
渗透率,spi:,0.0038600887135476487
孔隙度,均方误差(MSE):,1.7408178879389307
孔隙度,R方：,0.9581081480237814
孔隙度,rmse:,1.3194005790278138
孔隙度,vaf:,95.81095310155399
孔隙度,mape:,6.474062302639768
孔隙度,spi:,0.001176006700042891
标定温度,均方误差(MSE):,0.14186691164122367
标定温度,R方：,0.9922887382361517
标定温度,rmse:,0.37665224231540645
标定温度,vaf:,99.23253629741654
标定温度,mape:,0.23423771653124517
标定温度,spi:,0.006051837573313322
