ytest,ypred
196.86,196.48970000000025
127.49,127.4899999999998
127.49,128.8773999999998
258.88,258.8800000000001
227.69,227.6899999999997
256.95,256.9500000000005
196.86,196.8600000000003
164.25,164.59099999999998
228.4,228.4000000000002
193.0,193.0
196.86,196.8600000000003
196.86,178.1301000000002
127.49,156.04139999999998
228.4,228.4000000000002
127.49,127.4899999999998
196.86,196.8600000000003
196.86,196.8600000000003
127.49,129.57109999999983
256.95,256.9500000000005
258.88,258.84140000000014
227.69,227.6899999999997
193.0,193.0
228.4,228.4000000000002
256.95,256.6645000000005
127.49,149.68839999999994
164.25,164.93630000000002
167.66,167.65999999999988
167.66,167.5917999999999
127.49,128.18369999999982
221.53,220.3843999999999
365.95,365.9500000000002
167.66,169.17379999999991
127.49,127.4899999999998
193.0,193.0386
167.66,172.84239999999994
227.69,227.6899999999997
221.53,203.8073
167.66,169.02939999999987
193.0,192.7125
221.53,221.52999999999992
365.95,365.9500000000002
258.88,258.8800000000001
167.66,168.1645999999999
228.4,228.4000000000002
196.86,196.8600000000003
227.69,227.6899999999997
227.69,227.6899999999997
164.25,164.25
365.95,352.8700000000003
127.49,127.4899999999998
193.0,193.0
227.69,227.6899999999997
221.53,207.25600000000009
193.0,193.0
164.25,187.76090000000005
365.95,362.68000000000023
193.0,193.0
193.0,193.0
228.4,228.4000000000002
228.4,237.2240000000003
167.66,168.02819999999988
164.25,164.25
256.95,288.2745000000005
365.95,365.9500000000002
256.95,256.9500000000005
193.0,191.6898
193.0,191.4023
365.95,365.9500000000002
258.88,258.8800000000001
258.88,258.8800000000001
193.0,193.0
256.95,258.0400000000004
258.88,258.8800000000001
258.88,258.5752000000001
365.95,365.9500000000002
164.25,164.25
258.88,258.8800000000001
167.66,167.8576999999999
365.95,365.9500000000002
365.95,365.9500000000002
164.25,161.18759999999997
196.86,196.1663000000003
127.49,140.67029999999988
258.88,258.8800000000001
127.49,127.4899999999998
167.66,171.4308999999999
258.88,258.8800000000001
167.66,168.1986999999999
256.95,251.6453000000004
256.95,256.9500000000005
193.0,189.72449999999998
256.95,258.0400000000005
258.88,258.8800000000001
196.86,196.8600000000003
193.0,192.34489999999997
127.49,147.6072999999999
221.53,193.1775
256.95,256.6645000000005
256.95,256.9500000000005
228.4,230.39850000000024
256.95,247.28160000000037
228.4,228.4000000000002
127.49,127.4899999999998
228.4,228.4000000000002
164.25,181.05780000000007
127.49,128.87739999999982
164.25,164.43549999999996
196.86,196.53390000000027
227.69,227.6899999999997
221.53,204.85809999999998
164.25,164.8228
167.66,168.13049999999987
227.69,227.6899999999997
365.95,365.9500000000002
256.95,256.9500000000005
227.69,227.6899999999997
127.49,128.18369999999982
256.95,256.9500000000005
127.49,128.18369999999982
365.95,365.9500000000002
164.25,164.55689999999998
193.0,193.0
256.95,246.67200000000037
127.49,129.57109999999983
227.69,232.05659999999978
228.4,228.4000000000002
167.66,169.7918999999999
164.25,164.59099999999998
256.95,262.13380000000046
127.49,164.25610000000003
127.49,135.12069999999983
167.66,173.75690000000003
193.0,193.0
221.53,210.67979999999997
221.53,220.95719999999992
256.95,327.5724000000005
227.69,227.68999999999974
227.69,227.6899999999997
196.86,196.08690000000033
228.4,228.4000000000002
127.49,127.4899999999998
221.53,220.45259999999996
228.4,228.68550000000025
221.53,171.94199999999998
167.66,167.5576999999999
167.66,165.39449999999997
196.86,182.29230000000024
227.69,227.6899999999997
228.4,228.4000000000002
127.49,175.61620000000013
258.88,258.8800000000001
228.4,228.4000000000002
193.0,193.0
228.4,228.4000000000002
167.66,167.5917999999999
193.0,193.0
365.95,365.9500000000002
227.69,228.00189999999972
228.4,228.4000000000002
164.25,165.56609999999998
193.0,193.0
227.69,227.6899999999997
227.69,227.6899999999997
127.49,127.4899999999998
365.95,360.5000000000002
127.49,151.7695
196.86,196.1663000000003
127.49,128.18369999999982
127.49,129.5710999999998
365.95,357.2300000000003
193.0,193.0
193.0,193.5706
221.53,221.52999999999992
196.86,196.8600000000003
167.66,168.53279999999992
256.95,256.9500000000005
221.53,221.52999999999992
164.25,165.17069999999995
127.49,140.34419999999986
227.69,227.6899999999997
365.95,365.9500000000002
221.53,216.60399999999998
258.88,258.88000000000017
221.53,220.99129999999994
227.69,227.6899999999997
193.0,193.0
164.25,165.28079999999997
127.49,127.4899999999998
127.49,127.4899999999998
196.86,173.27420000000018
227.69,228.60639999999975
227.69,227.6899999999997
196.86,196.8600000000003
164.25,164.55689999999998
164.25,164.8228
227.69,227.6899999999997
164.25,164.5228
196.86,193.3915000000003
256.95,258.0400000000005
221.53,221.52999999999992
365.95,365.9500000000002
227.69,227.6899999999997
256.95,256.9500000000005
167.66,170.1829999999999
164.25,172.64809999999997
365.95,365.9500000000002
365.95,364.86000000000024
196.86,185.0671000000002
221.53,221.52999999999992
164.25,165.00019999999998
227.69,227.6899999999997
167.66,168.06229999999988
365.95,365.9500000000002
193.0,193.0
167.66,167.6258999999999
365.95,365.9500000000002
365.95,365.9500000000002
193.0,193.0
228.4,228.4000000000002
164.25,167.39879999999994
221.53,221.52999999999992
193.0,193.0
167.66,167.5917999999999
164.25,164.25
127.49,127.4899999999998
365.95,365.9500000000002
258.88,258.88000000000017
258.88,258.8800000000001
256.95,256.9500000000005
227.69,227.6899999999997
164.25,177.42660000000004
258.88,258.8800000000001
227.69,227.6899999999997
258.88,258.8800000000001
365.95,365.9500000000002
256.95,258.0400000000005
164.25,164.25
167.66,167.6258999999999
127.49,183.3536000000002
365.95,360.5000000000003
127.49,150.75559999999993
227.69,227.6899999999997
127.49,135.81439999999984
228.4,228.4000000000002
164.25,165.63649999999998
127.49,127.4899999999998
256.95,256.0935000000005
127.49,127.4899999999998
256.95,301.6400000000005
228.4,228.4000000000002
221.53,221.52999999999992
258.88,257.0157000000001
228.4,228.4000000000002
256.95,256.9500000000005
365.95,301.6400000000005
127.49,140.67029999999988
221.53,218.0931999999999
365.95,365.9500000000002
221.53,185.11230000000003
196.86,133.03959999999984
256.95,256.9500000000005
221.53,184.08540000000005
