ytest,ypred
45.7,45.56699999999991
32.4,32.40000000000006
32.4,32.66600000000006
71.0,71.0
70.0,70.0
67.0,67.0
45.7,45.69999999999991
58.0,58.07
68.0,68.0
62.0,62.0
45.7,45.69999999999991
45.7,41.17799999999997
32.4,38.367999999999995
68.0,68.0
32.4,32.40000000000006
45.7,45.43399999999991
45.7,45.56699999999991
32.4,33.065000000000055
67.0,67.0
71.0,70.92
70.0,70.0
62.0,62.0
68.0,68.0
67.0,67.0
32.4,36.25700000000002
58.0,53.087999999999965
44.0,44.0
44.0,44.0
32.4,32.40000000000006
65.0,65.0
72.0,72.0
44.0,44.42
32.4,32.40000000000006
62.0,62.0
44.0,49.68
70.0,70.0
65.0,60.8
44.0,44.0
62.0,62.0
65.0,64.97
72.0,71.35
71.0,71.0
44.0,43.886999999999986
68.0,68.17
45.7,45.69999999999991
70.0,70.0
70.0,70.0
58.0,58.0
72.0,69.6
32.4,32.40000000000006
62.0,62.0
70.0,70.0
65.0,62.9
62.0,62.0
58.0,59.54
72.0,71.05
62.0,62.0
62.0,62.0
68.0,68.0
68.0,68.0
44.0,44.0
58.0,58.0
67.0,68.16
72.0,72.0
67.0,67.0
62.0,62.0
62.0,62.0
72.0,72.0
71.0,71.0
71.0,71.0
62.0,62.0
67.0,67.0
71.0,71.0
71.0,70.96
72.0,72.0
58.0,57.3
71.0,71.0
44.0,44.0
72.0,71.94
72.0,72.0
58.0,57.108999999999995
45.7,45.69999999999991
32.4,33.86300000000004
71.0,71.0
32.4,32.40000000000006
44.0,44.0
71.0,71.0
44.0,44.21
67.0,67.68
67.0,67.0
62.0,62.0
67.0,67.24
71.0,71.0
45.7,45.69999999999991
62.0,62.0
32.4,35.858000000000025
65.0,61.01
67.0,67.05
67.0,67.0
68.0,68.0
67.0,67.05
68.0,67.98
32.4,32.40000000000006
68.0,68.0
58.0,58.63
32.4,32.40000000000006
58.0,41.80700000000001
45.7,45.69999999999991
70.0,70.0
65.0,61.85
58.0,58.07
44.0,44.0
70.0,70.0
72.0,72.0
67.0,67.03
70.0,69.96
32.4,32.40000000000006
67.0,67.0
32.4,32.799000000000056
72.0,72.0
58.0,58.14
62.0,62.0
67.0,67.71
32.4,32.93200000000005
70.0,70.01
68.0,68.0
44.0,44.0
58.0,58.14
67.0,67.65
32.4,37.32100000000002
32.4,33.86300000000005
44.0,50.01599999999999
62.0,62.0
65.0,64.04
65.0,64.93
67.0,70.17
70.0,70.02
70.0,70.0
45.7,45.69999999999991
68.0,68.0
32.4,32.40000000000006
65.0,64.37
68.0,68.0
65.0,62.69
44.0,44.0
44.0,49.596
45.7,42.77399999999995
70.0,70.0
68.0,68.0
32.4,42.507999999999946
71.0,71.0
68.0,67.99
62.0,62.0
68.0,68.0
44.0,44.0
62.0,62.0
72.0,72.0
70.0,70.0
68.0,68.0
58.0,58.98
62.0,62.0
70.0,70.0
70.0,70.0
32.4,32.40000000000006
72.0,72.0
32.4,35.592000000000034
45.7,45.56699999999991
32.4,32.40000000000006
32.4,32.799000000000056
72.0,71.45
62.0,62.0
62.0,62.0
65.0,65.0
45.7,45.69999999999991
44.0,48.2
67.0,67.05
65.0,65.0
58.0,57.79
32.4,35.32600000000003
70.0,70.0
72.0,72.0
65.0,64.58
71.0,71.0
65.0,64.37
70.0,69.97
62.0,62.0
58.0,58.04
32.4,32.40000000000006
32.4,32.40000000000006
45.7,39.98099999999999
70.0,70.0
70.0,70.0
45.7,45.69999999999991
58.0,58.07
58.0,58.14
70.0,69.97
58.0,57.72
45.7,44.236999999999924
67.0,69.5
65.0,64.9
72.0,72.0
70.0,70.0
67.0,67.0
44.0,44.0
58.0,58.14
72.0,72.0
72.0,72.0
45.7,43.43899999999992
65.0,64.76
58.0,58.42
70.0,70.0
44.0,44.0
72.0,72.0
62.0,62.0
44.0,44.0
72.0,72.0
72.0,72.0
62.0,62.0
68.0,68.0
58.0,41.59999999999998
65.0,65.0
62.0,62.0
44.0,43.113
58.0,57.72
32.4,32.40000000000006
72.0,72.0
71.0,71.0
71.0,71.0
67.0,67.07
70.0,70.0
58.0,59.51
71.0,71.0
70.0,70.0
71.0,70.96
72.0,72.0
67.0,69.11
58.0,58.0
44.0,44.0
32.4,40.113999999999976
72.0,72.0
32.4,37.62000000000003
70.0,70.0
32.4,33.19800000000005
68.0,67.99
58.0,58.07
32.4,32.40000000000006
67.0,67.0
32.4,32.40000000000006
67.0,69.45
68.0,68.0
65.0,65.0
71.0,70.97
68.0,68.0
67.0,67.0
72.0,69.8
32.4,34.26200000000005
65.0,64.58
72.0,71.95
65.0,61.05
45.7,34.39500000000004
67.0,67.05
65.0,59.72
